City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
502,coquimbo,75,CL,1559681176,82,-29.95,-71.34,78.01,13.87
503,yumen,0,CN,1559681176,19,40.29,97.04,70.69,8.61
504,isla mujeres,40,MX,1559680909,66,21.23,-86.73,87.8,12.75
505,saint paul,20,US,1559680990,58,44.95,-93.1,88.0,11.41
506,xingtai,100,CN,1559681177,56,37.07,114.49,71.41,1.45
507,hambantota,99,LK,1559681177,77,6.12,81.12,83.29,18.05
508,thaba nchu,60,ZA,1559681177,70,-29.2,26.83,46.4,2.24
509,peleduy,99,RU,1559681177,74,59.63,112.75,45.13,1.5
510,nipawin,20,CA,1559681177,30,53.36,-104.02,71.6,17.22
511,fort smith,40,US,1559680955,66,35.39,-94.42,86.0,13.87
512,gladstone,99,AU,1559681177,47,-23.84,151.26,55.4,10.29
513,birin,72,SY,1559681178,40,35.01,36.67,76.27,4.0
514,serenje,0,ZM,1559681178,88,-13.23,30.22,50.89,4.36
515,veracruz,40,VE,1559681178,55,7.66,-72.25,86.0,26.4
516,juneau,90,US,1559681178,81,58.3,-134.42,51.8,8.05
517,auki,78,NG,1559681178,33,12.18,6.51,93.73,8.97
518,yazman,72,SY,1559681178,26,36.74,38.46,81.49,9.57
519,durg,53,IN,1559681179,26,21.19,81.27,95.53,4.63
520,shishou,100,CN,1559681179,69,29.72,112.42,79.33,7.72
521,guantanamo,0,BO,1559681179,44,-16.14,-62.05,78.8,2.3
522,kikwit,0,CD,1559681179,30,-5.04,18.82,73.21,2.71
523,abramovka,0,RU,1559681179,80,51.19,41.01,54.85,8.34
524,mitu,100,IR,1559681179,55,36.2,46.09,66.73,3.24
525,scottsbluff,40,US,1559681180,44,41.87,-103.67,82.4,9.17
526,dudinka,0,RU,1559681180,90,69.41,86.18,39.2,6.71
527,karratha,6,AU,1559681180,22,-20.74,116.85,63.49,17.56
528,camacha,40,PT,1559681180,77,33.08,-16.33,68.0,14.99
529,ban dung,78,TH,1559681180,85,17.7,103.25,78.79,4.41
530,mangaluru,20,IN,1559681180,83,12.87,74.84,82.4,9.51
531,shellbrook,20,CA,1559681181,32,53.22,-106.39,69.8,18.34
532,panjakent,81,UZ,1559681181,82,39.5,67.61,64.4,6.93
533,kirakira,63,SB,1559681181,81,-10.46,161.92,81.13,6.55
534,along,27,IN,1559681181,84,28.17,94.8,56.47,4.29
535,sooke,1,CA,1559681085,71,48.37,-123.73,69.01,12.75
536,carmo do cajuru,0,BR,1559681182,74,-20.18,-44.77,62.77,6.58
537,tchibanga,55,GA,1559681182,90,-2.92,11.0,72.31,3.8
538,mulege,0,MX,1559681182,64,26.88,-111.98,78.79,17.9
539,kupino,62,RU,1559681182,71,54.36,77.31,56.47,14.12
540,douglas,1,US,1559681183,11,31.34,-109.55,88.0,12.75
541,mareeba,75,AU,1559681183,32,-16.99,145.42,66.2,16.11
